Universitas,Prodi,Rank,text
sekolah tinggi ilmu tarbiyah al wasi kaur,pendidikan agama islam,999.0,pendidikan agama islam
universitas islam an nur lampung,tadris bahasa inggris,999.0,tadris bahasa inggris
universitas respati indonesia,kebidanan,999.0,kebidanan
universitas ngudi waluyo,keperawatan,999.0,keperawatan
universitas mandala waluya,teknologi laboratorium medis,999.0,teknologi laboratorium medis
universitas islam mulia yogyakarta,kebidanan,999.0,kebidanan
universitas hang tuah pekanbaru,rekam medik dan informasi kesehatan,999.0,rekam medik dan informasi kesehatan
sekolah tinggi ilmu kesehatan sumber waras,administrasi kesehatan,999.0,administrasi kesehatan
sekolah tinggi ilmu kesehatan sumber waras,keperawatan,999.0,keperawatan
sekolah tinggi ilmu kesehatan akbidyo,kebidanan,999.0,kebidanan
politeknik kesehatan kementerian kesehatan pontianak,gizi,999.0,gizi
politeknik kesehatan kementerian kesehatan palangkaraya,keperawatan,999.0,keperawatan
politeknik kesehatan kementerian kesehatan aceh,teknologi laboratorium medis,999.0,teknologi laboratorium medis
politeknik kesehatan bhakti mulia,rekam medik dan informasi kesehatan,999.0,rekam medik dan informasi kesehatan
universitas kristen wira wacana sumba,ekonomi pembangunan,999.0,ekonomi pembangunan
politeknik ykpn,akuntansi,999.0,akuntansi
akademi akuntansi indonesia padang,akuntansi,999.0,akuntansi
universitas syiah kuala,ilmu keperawatan,23.0,ilmu keperawatan
universitas muhammadiyah ponorogo,kebidanan,999.0,kebidanan
universitas muhammadiyah pekajangan pekalongan,keperawatan,999.0,keperawatan
universitas lambung mangkurat,keperawatan,999.0,keperawatan
universitas islam negeri maulana malik ibrahim malang,pendidikan dokter,999.0,pendidikan dokter
universitas galuh,keperawatan,999.0,keperawatan
universitas dr soebandi,kebidanan,999.0,kebidanan
universitas cokroaminoto makassar,kebidanan,999.0,kebidanan
universitas cenderawasih,ilmu keperawatan,999.0,ilmu keperawatan
universitas abulyatama,kebidanan,999.0,kebidanan
universitas aisyiyah bandung,ilmu keperawatan,999.0,ilmu keperawatan
sekolah tinggi ilmu kesehatan yapika makassar,ilmu keperawatan,999.0,ilmu keperawatan
sekolah tinggi ilmu kesehatan patriot bangsa lampung,administrasi kesehatan,999.0,administrasi kesehatan
politeknik kesehatan kementerian kesehatan tasikmalaya,kebidanan,999.0,kebidanan
politeknik kesehatan kementerian kesehatan tasikmalaya,kebidanan,999.0,kebidanan
politeknik kesehatan kementerian kesehatan tasikmalaya,keperawatan,999.0,keperawatan
politeknik kesehatan kementerian kesehatan tasikmalaya,kebidanan,999.0,kebidanan
politeknik kesehatan kementerian kesehatan tasikmalaya,keperawatan,999.0,keperawatan
politeknik kesehatan kementerian kesehatan sorong,kebidanan,999.0,kebidanan
politeknik kesehatan kementerian kesehatan pontianak,keperawatan,999.0,keperawatan
akademi kebidanan bakti indonesia bogor,kebidanan,999.0,kebidanan
universitas islam syarifuddin lumajang,pendidikan agama islam,999.0,pendidikan agama islam
universitas islam syarifuddin lumajang,pendidikan guru madrasah ibtidaiyah,999.0,pendidikan guru madrasah ibtidaiyah
sekolah tinggi agama islam darud dakwah wal irsyad maros,pendidikan agama islam,999.0,pendidikan agama islam
sekolah tinggi ilmu tarbiyah nur ahadiyah,pendidikan agama islam,999.0,pendidikan agama islam
sekolah tinggi agama islam sayid sabiq indramayu,pendidikan agama islam,999.0,pendidikan agama islam
universitas negeri yogyakarta,pendidikan pancasila dan kewarganegaraan,19.0,pendidikan pancasila dan kewarganegaraan
universitas muhammadiyah sidenreng rappang,pendidikan vokasional seni kuliner,999.0,pendidikan vokasional seni kuliner
sekolah tinggi agama islam riyadhul jannah subang,pendidikan islam anak usia dini,999.0,pendidikan islam anak usia dini
sekolah tinggi ilmu tarbiyah muhammadiyah bangil,pendidikan agama islam,999.0,pendidikan agama islam
sekolah tinggi agama islam morowali,pendidikan agama islam,999.0,pendidikan agama islam
sekolah tinggi teologi siloam medan,pendidikan agama kristen,999.0,pendidikan agama kristen
universitas iskandar muda,pendidikan bahasa inggris,999.0,pendidikan bahasa inggris
universitas hasyim asyari tebuireng jombang,pendidikan bahasa dan sastra indonesia,999.0,pendidikan bahasa dan sastra indonesia
universitas tribuana kalabahi,pendidikan teologi,999.0,pendidikan teologi
universitas pgri palembang,pendidikan matematika,999.0,pendidikan matematika
institut agama islam arrisalah inhil riau,pendidikan islam anak usia dini,999.0,pendidikan islam anak usia dini
universitas trunojoyo,pendidikan ilmu pengetahuan alam,999.0,pendidikan ilmu pengetahuan alam
universitas islam negeri sunan gunung djati,pendidikan kimia,999.0,pendidikan kimia
universitas pelita harapan,pendidikan bahasa inggris,999.0,pendidikan bahasa inggris
universitas nahdlatul ulama cirebon,pendidikan guru sekolah dasar,999.0,pendidikan guru sekolah dasar
sekolah tinggi agama islam raudhatul akmal,pendidikan islam anak usia dini,999.0,pendidikan islam anak usia dini
institut agama hindu negeri tampung penyang palangka raya,pendidikan seni dan keagamaan,999.0,pendidikan seni dan keagamaan
universitas pamulang,pendidikan ekonomi,999.0,pendidikan ekonomi
universitas negeri medan,pendidikan tata boga,999.0,pendidikan tata boga
universitas pgri madiun,pendidikan matematika,999.0,pendidikan matematika
universitas negeri malang,pendidikan seni rupa,22.0,pendidikan seni rupa
sekolah tinggi ilmu tarbiyah darul ishlah,manajemen pendidikan islam,999.0,manajemen pendidikan islam
sekolah tinggi agama islam paduka anambas,pendidikan agama islam,999.0,pendidikan agama islam
universitas khairun,pendidikan kimia,999.0,pendidikan kimia
universitas islam negeri alauddin makassar,pendidikan guru madrasah ibtidaiyah,999.0,pendidikan guru madrasah ibtidaiyah
universitas islam indonesia,pendidikan agama islam,25.0,pendidikan agama islam
sekolah tinggi agama islam morowali,pendidikan guru madrasah ibtidaiyah,999.0,pendidikan guru madrasah ibtidaiyah
universitas muhammadiyah bima,pendidikan islam anak usia dini,999.0,pendidikan islam anak usia dini
sekolah tinggi ilmu tarbiyah ispini,pendidikan guru madrasah ibtidaiyah,999.0,pendidikan guru madrasah ibtidaiyah
universitas pendidikan ganesha,pendidikan teknik mesin,999.0,pendidikan teknik mesin
universitas cenderawasih,pendidikan guru pendidikan anak usia dini,999.0,pendidikan guru pendidikan anak usia dini
universitas riau,pendidikan guru sekolah dasar,999.0,pendidikan guru sekolah dasar
universitas dwijendra,pendidikan bahasa indonesia,999.0,pendidikan bahasa indonesia
sekolah tinggi agama islam babunnajah pandeglang,pendidikan agama islam,999.0,pendidikan agama islam
universitas muhammadiyah makassar,pendidikan bahasa arab,999.0,pendidikan bahasa arab
universitas hkbp nommensen,pendidikan ekonomi,999.0,pendidikan ekonomi
universitas negeri jakarta,pendidikan ekonomi,999.0,pendidikan ekonomi
universitas jambi,pendidikan guru pendidikan anak usia dini,999.0,pendidikan guru pendidikan anak usia dini
universitas islam negeri salatiga,tadris bahasa inggris,999.0,tadris bahasa inggris
institut agama islam latifah mubarokiyah suryalaya tasikmalaya,pendidikan islam anak usia dini,999.0,pendidikan islam anak usia dini
universitas islam negeri syekh ali hasan ahmad addary padangsidimpuan,pendidikan guru madrasah ibtidaiyah,999.0,pendidikan guru madrasah ibtidaiyah
universitas pgri madiun,pendidikan guru sekolah dasar,999.0,pendidikan guru sekolah dasar
institut agama islam negeri ponorogo,tadris matematika,999.0,tadris matematika
universitas islam negeri sultan maulana hasanuddin banten,bimbingan dan konseling pendidikan islam,999.0,bimbingan dan konseling pendidikan islam
sekolah tinggi keguruan dan ilmu pendidikan pgri sumenep,pendidikan bahasa dan sastra indonesia,999.0,pendidikan bahasa dan sastra indonesia
universitas kristen satya wacana,pendidikan sejarah,999.0,pendidikan sejarah
universitas muhammadiyah sumatera utara,pendidikan bahasa inggris,999.0,pendidikan bahasa inggris
universitas pancasakti tegal,pendidikan pancasila dan kewarganegaraan,999.0,pendidikan pancasila dan kewarganegaraan
institut agama islam almuslim aceh,pendidikan agama islam,999.0,pendidikan agama islam
universitas yudharta pasuruan,pendidikan agama islam,999.0,pendidikan agama islam
institut agama islam negeri langsa,pendidikan guru madrasah ibtidaiyah,999.0,pendidikan guru madrasah ibtidaiyah
universitas muhammadiyah pringsewu lampung,pendidikan matematika,999.0,pendidikan matematika
sekolah tinggi agama islam ypiq baubau,pendidikan agama islam,999.0,pendidikan agama islam
sekolah tinggi agama islam imam bukhori bulukumba,pendidikan agama islam,999.0,pendidikan agama islam
universitas muhammadiyah sorong,pendidikan guru sekolah dasar,999.0,pendidikan guru sekolah dasar
universitas islam negeri sayyid ali rahmatullah tulungagung,tadris fisika,999.0,tadris fisika
universitas kh mukhtar syafaat,tadris matematika,999.0,tadris matematika
universitas negeri yogyakarta,pendidikan fisika,19.0,pendidikan fisika
