Universitas,Prodi,Rank,text
universitas nahdlatul ulama nusa tenggara barat,pendidikan seni drama tari dan musik,999.0,pendidikan seni drama tari dan musik
institut agama islam maarif nu metro lampung,bimbingan dan konseling,999.0,bimbingan dan konseling
sekolah tinggi agama islam kharisma cicurug,pendidikan guru madrasah ibtidaiyah,999.0,pendidikan guru madrasah ibtidaiyah
sekolah tinggi ilmu tarbiyah maskumambang gresik,pendidikan agama islam,999.0,pendidikan agama islam
universitas bumigora,pendidikan teknologi informasi,999.0,pendidikan teknologi informasi
universitas islam darussalam,pendidikan islam anak usia dini,999.0,pendidikan islam anak usia dini
sekolah tinggi ilmu tarbiyah attaqwa ciparay bandung,pendidikan islam anak usia dini,999.0,pendidikan islam anak usia dini
sekolah tinggi ilmu tarbiyah miftahul ulum kedungdung modung bangkalan madura,pendidikan guru madrasah ibtidaiyah,999.0,pendidikan guru madrasah ibtidaiyah
universitas nusa cendana,pendidikan matematika,999.0,pendidikan matematika
universitas lakidende unaaha,pendidikan matematika,999.0,pendidikan matematika
institut sains dan kependidikan kie raha,pendidikan geografi,999.0,pendidikan geografi
institut keguruan dan ilmu pendidikan siliwangi,pendidikan bahasa inggris,999.0,pendidikan bahasa inggris
sekolah tinggi teologi samuel elizabeth,pendidikan agama kristen,999.0,pendidikan agama kristen
universitas muhammadiyah metro,pendidikan bahasa inggris,999.0,pendidikan bahasa inggris
universitas muria kudus,pendidikan bahasa dan sastra indonesia,999.0,pendidikan bahasa dan sastra indonesia
sekolah tinggi teologi abalbalat wesleyan kupang,pendidikan agama kristen,999.0,pendidikan agama kristen
sekolah tinggi ilmu tarbiyah al hikmah benda,pendidikan agama islam,999.0,pendidikan agama islam
sekolah tinggi agama islam pui majalengka,pendidikan bahasa arab,999.0,pendidikan bahasa arab
universitas muhammadiyah surabaya,pendidikan bahasa inggris,999.0,pendidikan bahasa inggris
sekolah tinggi ilmu tarbiyah insida,pendidikan agama islam,999.0,pendidikan agama islam
sekolah tinggi agama islam riyadhul jannah subang,pendidikan guru madrasah ibtidaiyah,999.0,pendidikan guru madrasah ibtidaiyah
universitas mohammad husni thamrin jakarta,pendidikan bahasa inggris,999.0,pendidikan bahasa inggris
universitas darussalam ambon,pendidikan biologi,999.0,pendidikan biologi
institut agama islam negeri lhokseumawe,tadris bahasa indonesia,999.0,tadris bahasa indonesia
sekolah tinggi agama islam alutsmani bondowoso,manajemen pendidikan islam,999.0,manajemen pendidikan islam
sekolah tinggi ilmu agama islam alazhar pekanbaru,manajemen pendidikan islam,999.0,manajemen pendidikan islam
universitas pohuwato,administrasi pendidikan,999.0,administrasi pendidikan
universitas siliwangi,pendidikan fisika,999.0,pendidikan fisika
universitas alwashliyah,pendidikan agama islam,999.0,pendidikan agama islam
universitas hindu indonesia,pendidikan seni rupa dan ornamen hindu,999.0,pendidikan seni rupa dan ornamen hindu
universitas tribhuwana tungga dewi,pendidikan biologi,999.0,pendidikan biologi
universitas nusa cendana,pendidikan sejarah,999.0,pendidikan sejarah
universitas nahdlatul ulama sidoarjo,pendidikan islam anak usia dini,999.0,pendidikan islam anak usia dini
universitas islam riau,pendidikan guru sekolah dasar,999.0,pendidikan guru sekolah dasar
universitas pgri semarang,pendidikan fisika,999.0,pendidikan fisika
universitas ibn khaldun bogor,pendidikan guru madrasah ibtidaiyah,999.0,pendidikan guru madrasah ibtidaiyah
institut agama islam negeri palangkaraya,manajemen pendidikan islam,999.0,manajemen pendidikan islam
sekolah tinggi teologi bisanry,pendidikan agama kristen,999.0,pendidikan agama kristen
universitas ibn khaldun bogor,pendidikan masyarakat,999.0,pendidikan masyarakat
universitas alwashliyah,pendidikan islam anak usia dini,999.0,pendidikan islam anak usia dini
sekolah tinggi teologi obaja jakarta,pendidikan agama kristen,999.0,pendidikan agama kristen
universitas pancasakti,pendidikan fisika,999.0,pendidikan fisika
universitas islam riau,pendidikan bahasa inggris,999.0,pendidikan bahasa inggris
universitas pendidikan ganesha,pendidikan kepelatihan olahraga,999.0,pendidikan kepelatihan olahraga
universitas islam negeri raden fatah palembang,pendidikan agama islam,999.0,pendidikan agama islam
universitas suryakancana,pendidikan bahasa dan sastra indonesia,999.0,pendidikan bahasa dan sastra indonesia
universitas islam negeri siber syekh nurjati cirebon,tadris bahasa inggris,999.0,tadris bahasa inggris
institut keguruan dan ilmu pendidikan saraswati,pendidikan biologi,999.0,pendidikan biologi
sekolah tinggi ilmu tarbiyah muhammadiyah banjar,pendidikan agama islam,999.0,pendidikan agama islam
universitas siliwangi,pendidikan jasmani,999.0,pendidikan jasmani
universitas islam negeri maulana malik ibrahim,tadris bahasa inggris,999.0,tadris bahasa inggris
universitas bina bangsa,pendidikan guru pendidikan anak usia dini,999.0,pendidikan guru pendidikan anak usia dini
institut keguruan dan ilmu pendidikan widya darma,pendidikan ekonomi,999.0,pendidikan ekonomi
universitas pattimura,administrasi pendidikan,999.0,administrasi pendidikan
universitas almuslim,pendidikan guru sekolah dasar,999.0,pendidikan guru sekolah dasar
sekolah tinggi agama hindu shantika dharma malang,pendidikan agama hindu,999.0,pendidikan agama hindu
institut agama kristen negeri tarutung,pendidikan musik gereja,999.0,pendidikan musik gereja
universitas siliwangi,pendidikan matematika,999.0,pendidikan matematika
universitas islam riau,pendidikan akuntansi,999.0,pendidikan akuntansi
universitas pattimura,pendidikan ekonomi,999.0,pendidikan ekonomi
universitas pancasakti,pendidikan bahasa indonesia,999.0,pendidikan bahasa indonesia
universitas muhammadiyah magelang,pendidikan guru madrasah ibtidaiyah,999.0,pendidikan guru madrasah ibtidaiyah
universitas tidar,pendidikan ilmu pengetahuan alam,999.0,pendidikan ilmu pengetahuan alam
universitas qomaruddin,hukum keluarga islam,999.0,hukum keluarga islam
universitas darma persada,manajemen,999.0,manajemen
politeknik negeri bengkalis,akuntansi keuangan publik,999.0,akuntansi keuangan publik
sekolah tinggi ilmu ekonomi persada bunda,manajemen,999.0,manajemen
universitas bandar lampung,akuntansi,999.0,akuntansi
universitas utpadaka swastika,akuntansi,999.0,akuntansi
universitas malikussaleh,manajemen,999.0,manajemen
sekolah tinggi ilmu ekonomi sbi,manajemen,999.0,manajemen
sekolah tinggi ilmu ekonomi satya dharma,manajemen,999.0,manajemen
sekolah tinggi ilmu ekonomi ekuitas,manajemen,999.0,manajemen
universitas lampung,sistem informasi,999.0,sistem informasi
sekolah tinggi ilmu kesehatan mambaul ulum surakarta,administrasi rumah sakit,999.0,administrasi rumah sakit
institut teknologi dan kesehatan sumatera utara,farmasi,999.0,farmasi
sekolah tinggi teologi indonesia jakarta,teologi,999.0,teologi
universitas islam bandung,komunikasi dan penyiaran islam,999.0,komunikasi dan penyiaran islam
universitas muhammadiyah mataram,komunikasi dan penyiaran islam,999.0,komunikasi dan penyiaran islam
universitas hasanuddin,pariwisata,11.0,pariwisata
institut agama islam alqodiri jember,hukum keluarga islam,999.0,hukum keluarga islam
politeknik digital boash indonesia,teknologi rekayasa industri otomotif,999.0,teknologi rekayasa industri otomotif
politeknik pekerjaan umum,teknologi konstruksi jalan dan jembatan,999.0,teknologi konstruksi jalan dan jembatan
universitas islam negeri mataram,pemikiran politik islam,999.0,pemikiran politik islam
politeknik palu,teknologi pengolahan hasil laut,999.0,teknologi pengolahan hasil laut
universitas pancasakti tegal,ilmu komunikasi,999.0,ilmu komunikasi
institut teknologi dan sains nahdlatul ulama jambi,agronomi,999.0,agronomi
institut agama kristen negeri kupang,misiologi,999.0,misiologi
politeknik penerbangan indonesia curug,operasi bandar udara,999.0,operasi bandar udara
politeknik kelautan dan perikanan kupang,teknik penangkapan ikan,999.0,teknik penangkapan ikan
universitas pakuan,perencanaan wilayah dan kota,999.0,perencanaan wilayah dan kota
politeknik negeri lhokseumawe,teknologi rekayasa mekatronika,999.0,teknologi rekayasa mekatronika
sekolah tinggi ilmu hukum manokwari,ilmu hukum,999.0,ilmu hukum
stai alfurqan makassar,bimbingan dan penyuluhan islam,999.0,bimbingan dan penyuluhan islam
universitas negeri surabaya,ilmu hukum,999.0,ilmu hukum
universitas medan area,ilmu komunikasi,999.0,ilmu komunikasi
universitas katolik parahyangan,arsitektur,999.0,arsitektur
stai rahmaniyah sekayu,hukum keluarga,999.0,hukum keluarga
sekolah tinggi pastoralyayasan institut pastoral indonesia malang,pelayanan pastoral,999.0,pelayanan pastoral
stai annadwah kuala tungkal,hukum keluarga islam,999.0,hukum keluarga islam
sekolah tinggi agama islam imam asy syafii pekanbaru,ilmu alquran dan tafsir,999.0,ilmu alquran dan tafsir
universitas islam negeri sultan aji muhammad idris samarinda,ilmu hadis,999.0,ilmu hadis
universitas tompotika luwuk banggai,bahasa dan kebudayaan inggris,999.0,bahasa dan kebudayaan inggris
universitas sebelas maret,ilmu hukum,13.0,ilmu hukum
sekolah tinggi teologi mitra,teologi,999.0,teologi
universitas sulawesi tenggara,peternakan,999.0,peternakan
sekolah tinggi agama buddha nalanda,ilmu komunikasi buddha,999.0,ilmu komunikasi buddha
universitas widya husada semarang,kewirausahaan,999.0,kewirausahaan
universitas mitra indonesia,gizi,999.0,gizi
sekolah tinggi ilmu kesehatan pasapua,kebidanan,999.0,kebidanan
universitas jambi,informatika,999.0,informatika
universitas nagoya indonesia,ilmu keperawatan,999.0,ilmu keperawatan
sekolah tinggi ilmu kesehatan sehat medan,keperawatan,999.0,keperawatan
universitas maritim raja ali haji,teknik industri,999.0,teknik industri
universitas ubudiyah indonesia,kebidanan,999.0,kebidanan
universitas sumatera utara,kedokteran gigi,14.0,kedokteran gigi
sekolah tinggi ilmu kesehatan hakli,sanitasi,999.0,sanitasi
universitas utpadaka swastika,akuntansi,999.0,akuntansi
universitas telkom,bisnis digital,999.0,bisnis digital
stai muhammadiyah garut,ekonomi syariah,999.0,ekonomi syariah
stie ya bangko,ekonomi pembangunan,999.0,ekonomi pembangunan
universitas abdurachman saleh situbondo,manajemen,999.0,manajemen
universitas islam negeri sunan ampel,manajemen zakat dan wakaf,999.0,manajemen zakat dan wakaf
universitas muhammadiyah mamuju,manajemen,999.0,manajemen
universitas putra indonesia,manajemen,999.0,manajemen
universitas antakusuma,manajemen,999.0,manajemen
universitas musi rawas,bisnis digital,999.0,bisnis digital
universitas widya husada semarang,kewirausahaan,999.0,kewirausahaan
stie dharma negara,manajemen,999.0,manajemen
universitas kadiri,akuntansi sektor publik,999.0,akuntansi sektor publik
politeknik negeri malang,akuntansi,999.0,akuntansi
universitas tribuana kalabahi,manajemen,999.0,manajemen
universitas patria artha,manajemen,999.0,manajemen
sekolah tinggi manajemen bisnis multi sarana manajemen administrasi dan rekayasa teknologi,manajemen,999.0,manajemen
universitas serasan,manajemen,999.0,manajemen
institut agama islam syekh maulana qori bangko,ekonomi syariah,999.0,ekonomi syariah
universitas pendidikan muhammadiyah sorong,akuntansi,999.0,akuntansi
universitas pelita bangsa,bisnis digital,999.0,bisnis digital
universitas tanri abeng,manajemen,999.0,manajemen
universitas islam jakarta,ekonomi syariah,999.0,ekonomi syariah
universitas bakti indonesia,akuntansi,999.0,akuntansi
universitas pahlawan tuanku tambusai,bisnis digital,999.0,bisnis digital
universitas dr soebandi,kewirausahaan,999.0,kewirausahaan
institut teknologi insan cendekia mandiri,bisnis digital,999.0,bisnis digital
politeknik ykpn,akuntansi sektor publik,999.0,akuntansi sektor publik
universitas airlangga,perbankan dan keuangan,4.0,perbankan dan keuangan
politeknik negeri samarinda,bisnis digital,999.0,bisnis digital
universitas nahdlatul ulama al ghazali cilacap,manajemen,999.0,manajemen
universitas bali internasional,bisnis digital,999.0,bisnis digital
universitas nahdlatul ulama kalimantan barat,manajemen,999.0,manajemen
universitas muhammadiyah klaten,manajemen,999.0,manajemen
universitas muhammadiyah lamongan,akuntansi,999.0,akuntansi
stim lpi makassar,manajemen,999.0,manajemen
stei bina cipta madani,ekonomi syariah,999.0,ekonomi syariah
universitas dipa makassar,kewirausahaan,999.0,kewirausahaan
universitas kristen indonesia,akuntansi,999.0,akuntansi
universitas teuku umar,keselamatan dan kesehatan kerja,999.0,keselamatan dan kesehatan kerja
universitas bunda mulia,informatika,999.0,informatika
universitas nagoya indonesia,kebidanan,999.0,kebidanan
sekolah tinggi ilmu kesehatan indonesia jaya,kesehatan masyarakat,999.0,kesehatan masyarakat
politeknik kesehatan kementerian kesehatan mamuju,gizi,999.0,gizi
stis assaadah sukasari sumedang,hukum keluarga islam,999.0,hukum keluarga islam
universitas islam negeri sjech m djamil djambek bukittinggi,hukum keluarga islam,999.0,hukum keluarga islam
stai nurul huda kapongan situbondo,hukum ekonomi syariah,999.0,hukum ekonomi syariah
politeknik pariwisata palembang,divisi kamar,999.0,divisi kamar
politeknik pariwisata nhi bandung,seni kuliner,999.0,seni kuliner
institut ilmu alquran jakarta,komunikasi dan penyiaran islam,999.0,komunikasi dan penyiaran islam
universitas djuanda,hukum,999.0,hukum
universitas islam negeri alauddin makassar,komunikasi dan penyiaran islam,999.0,komunikasi dan penyiaran islam
universitas islam negeri alauddin makassar,pengembangan masyarakat islam,999.0,pengembangan masyarakat islam
institut teknologi sawit indonesia,proteksi tanaman,999.0,proteksi tanaman
universitas muhammadiyah luwuk banggai,ilmu hukum,999.0,ilmu hukum
universitas alghifari,ilmu hubungan internasional,999.0,ilmu hubungan internasional
universitas 45 surabaya,psikologi,999.0,psikologi
universitas tadulako,perencanaan wilayah dan kota,999.0,perencanaan wilayah dan kota
universitas graha karya muara bulian,agroteknologi,999.0,agroteknologi
universitas kutai kartanegara tenggarong,administrasi publik,999.0,administrasi publik
universitas sunan bonang,agroteknologi,999.0,agroteknologi
universitas malikussaleh,sosiologi,999.0,sosiologi
sekolah tinggi pariwisata satya widya,perhotelan,999.0,perhotelan
universitas islam negeri raden fatah palembang,manajemen pendidikan islam,999.0,manajemen pendidikan islam
stit raden wijaya mojokerto,pendidikan agama islam,999.0,pendidikan agama islam
politeknik negeri media kreatif,fotografi,999.0,fotografi
universitas garut,ilmu dan teknologi pangan,999.0,ilmu dan teknologi pangan
sekolah tinggi pertanian kutai timur,peternakan,999.0,peternakan
sekolah tinggi agama islam kh muhammad ali shodiq,ilmu alquran dan tafsir,999.0,ilmu alquran dan tafsir
sekolah tinggi agama islam nurud dhalam,hukum ekonomi syariah,999.0,hukum ekonomi syariah
universitas muhammadiyah sinjai,perpustakaan dan sains informasi,999.0,perpustakaan dan sains informasi
universitas nahdlatul wathan mataram,ilmu administrasi niaga,999.0,ilmu administrasi niaga
universitas islam kh ruhiat cipasung,manajemen haji dan umrah,999.0,manajemen haji dan umrah
sekolah tinggi ilmu pertanian mujahidin tolitoli,agribisnis,999.0,agribisnis
institut agama kristen negeri toraja,sosiologi agama,999.0,sosiologi agama
universitas pembangunan nasional veteran jakarta,ilmu politik,999.0,ilmu politik
politeknik ilmu pemasyarakatan,bimbingan kemasyarakatan,999.0,bimbingan kemasyarakatan
universitas indonesia,hubungan masyarakat,1.0,hubungan masyarakat
universitas muhammadiyah kuningan,pendidikan bahasa dan sastra daerah,999.0,pendidikan bahasa dan sastra daerah
universitas muhammadiyah kuningan,pendidikan guru pendidikan anak usia dini,999.0,pendidikan guru pendidikan anak usia dini
universitas muhammadiyah kuningan,pendidikan guru sekolah dasar,999.0,pendidikan guru sekolah dasar
universitas muhammadiyah kuningan,pendidikan jasmani,999.0,pendidikan jasmani
universitas muhammadiyah kuningan,pendidikan matematika,999.0,pendidikan matematika
universitas riau,penyuluhan pertanian,999.0,penyuluhan pertanian
universitas tarumanagara,ilmu hukum,999.0,ilmu hukum
universitas muhammadiyah cileungsi,teknik mesin,999.0,teknik mesin
sekolah tinggi alkitab batu malang,teologi,999.0,teologi
institut kesenian jakarta,desain komunikasi visual,999.0,desain komunikasi visual
universitas presiden,aktuaria,999.0,aktuaria
universitas muhammadiyah pringsewu,manajemen informasi kesehatan,999.0,manajemen informasi kesehatan
universitas muhammadiyah pringsewu lampung,fisioterapi,999.0,fisioterapi
politeknik negeri nusa utara,keperawatan,999.0,keperawatan
politeknik kesehatan kementerian kesehatan aceh,keperawatan,999.0,keperawatan
sekolah tinggi agama islam al bayan sulawesi selatan,pendidikan guru madrasah ibtidaiyah,999.0,pendidikan guru madrasah ibtidaiyah
universitas negeri padang,pendidikan guru sekolah dasar,21.0,pendidikan guru sekolah dasar
universitas negeri padang,pendidikan ilmu pengetahuan sosial,21.0,pendidikan ilmu pengetahuan sosial
universitas negeri padang,pendidikan guru pendidikan anak usia dini,21.0,pendidikan guru pendidikan anak usia dini
universitas alhikmah indonesia,pendidikan islam anak usia dini,999.0,pendidikan islam anak usia dini
universitas alhikmah indonesia,manajemen pendidikan islam,999.0,manajemen pendidikan islam
universitas pendidikan indonesia,pendidikan bahasa korea,17.0,pendidikan bahasa korea
universitas dr soetomo,pendidikan matematika,999.0,pendidikan matematika
sekolah tinggi agama islam yaptip simpang empat pasaman barat,manajemen pendidikan islam,999.0,manajemen pendidikan islam
institut agama islam negeri ponorogo,tadris ilmu pengetahuan sosial,999.0,tadris ilmu pengetahuan sosial
universitas negeri medan,pendidikan administrasi perkantoran,999.0,pendidikan administrasi perkantoran
stai pertinu padangsidimpuan,pendidikan agama islam,999.0,pendidikan agama islam
sekolah tinggi agama islam darussalam sumatera selatan,pendidikan agama islam,999.0,pendidikan agama islam
sekolah tinggi keguruan dan ilmu pendidikan nusa timor,pendidikan guru pendidikan anak usia dini,999.0,pendidikan guru pendidikan anak usia dini
sekolah tinggi keguruan dan ilmu pendidikan muhammadiyah sungai penuh,pendidikan olahraga,999.0,pendidikan olahraga
sekolah tinggi keguruan dan ilmu pendidikan muhammadiyah kalabahi,pendidikan kepelatihan olahraga,999.0,pendidikan kepelatihan olahraga
sekolah tinggi ilmu tarbiyah alfalah rimbo bujang,pendidikan islam anak usia dini,999.0,pendidikan islam anak usia dini
sekolah tinggi agama islam hasan jufri bawean,pendidikan guru madrasah ibtidaiyah,999.0,pendidikan guru madrasah ibtidaiyah
institut agama islam annawawi purworejo,pendidikan agama islam,999.0,pendidikan agama islam
sekolah tinggi ilmu ekonomi nusantara sangatta,manajemen,999.0,manajemen
universitas ipwija,kewirausahaan,999.0,kewirausahaan
stai asysyafiiyah nabire,ekonomi syariah,999.0,ekonomi syariah
politeknik negeri lampung,akuntansi bisnis digital,999.0,akuntansi bisnis digital
universitas terbuka,ekonomi syariah,999.0,ekonomi syariah
stai almuhajirin purwakarta,perbankan syariah,999.0,perbankan syariah
politeknik negeri sambas,akuntansi keuangan perusahaan,999.0,akuntansi keuangan perusahaan
politeknik negeri sriwijaya,akuntansi sektor publik,999.0,akuntansi sektor publik
politeknik negeri bandung,manajemen pemasaran,999.0,manajemen pemasaran
politeknik negeri ambon,akuntansi,999.0,akuntansi
universitas sari mulia,kebidanan,999.0,kebidanan
universitas samawa,keperawatan,999.0,keperawatan
universitas padjadjaran,kedokteran hewan,7.0,kedokteran hewan
universitas mangku wiyata,farmasi,999.0,farmasi
universitas malahayati,ilmu keperawatan,999.0,ilmu keperawatan
universitas islam makassar,farmasi,999.0,farmasi
universitas ibn khaldun,kesehatan masyarakat,999.0,kesehatan masyarakat
universitas gadjah mada,kedokteran,2.0,kedokteran
universitas aisyiyah surakarta,keperawatan,999.0,keperawatan
sekolah tinggi ilmu kesehatan papua,keselamatan dan kesehatan kerja,999.0,keselamatan dan kesehatan kerja
sekolah tinggi ilmu kesehatan ngudia husada madura,farmasi klinik dan komunitas,999.0,farmasi klinik dan komunitas
sekolah tinggi ilmu kesehatan nasional,farmasi,999.0,farmasi
sekolah tinggi ilmu kesehatan muhammadiyah lhokseumawe,farmasi,999.0,farmasi
sekolah tinggi ilmu kesehatan majapahit,kebidanan,999.0,kebidanan
politeknik kesehatan kementerian kesehatan yogyakarta,terapi gigi,999.0,terapi gigi
politeknik kesehatan kementerian kesehatan yogyakarta,rekam medis dan informasi kesehatan,999.0,rekam medis dan informasi kesehatan
politeknik kesehatan genesis medicare,teknologi laboratorium medis,999.0,teknologi laboratorium medis
akademi kesehatan sinar kasih toraja,kebidanan,999.0,kebidanan
universitas alirsyad cilacap,informatika,999.0,informatika
universitas pgri kalimantan,ilmu komputer,999.0,ilmu komputer
universitas pgri kalimantan,teknologi informasi,999.0,teknologi informasi
universitas udayana,kedokteran hewan,999.0,kedokteran hewan
universitas sahid,gizi,999.0,gizi
universitas muhammadiyah semarang,teknologi laboratorium medis,999.0,teknologi laboratorium medis
universitas islam bandung,kedokteran,999.0,kedokteran
universitas cendekia abditama,keperawatan,999.0,keperawatan
sekolah tinggi ilmu kesehatan mutiara mahakam samarinda,kebidanan,999.0,kebidanan
sekolah tinggi ilmu kesehatan muhammadiyah ciamis,keperawatan,999.0,keperawatan
sekolah tinggi ilmu kesehatan hakli,sanitasi,999.0,sanitasi
sekolah tinggi ilmu keperawatan ppni jawa barat,keperawatan,999.0,keperawatan
politeknik piksi ganesha,manajemen informasi kesehatan,999.0,manajemen informasi kesehatan
politeknik kesehatan kementerian kesehatan banjarmasin,keperawatan,999.0,keperawatan
politeknik kesehatan karya husada yogyakarta,promosi kesehatan,999.0,promosi kesehatan
akademi refraksi optisi dan optometry gapopin,refraksi optisi,999.0,refraksi optisi
universitas islam negeri sunan gunung djati,ilmu alquran dan tafsir,999.0,ilmu alquran dan tafsir
universitas islam negeri syarif hidayatullah,sejarah dan peradaban islam,999.0,sejarah dan peradaban islam
universitas islam negeri syarif hidayatullah,tarjamah,999.0,tarjamah
universitas islam negeri syarif hidayatullah,pengembangan masyarakat islam,999.0,pengembangan masyarakat islam
institut agama islam nusantara batang hari,pendidikan agama islam,999.0,pendidikan agama islam
stai alhidayah bogor,ilmu alquran dan tafsir,999.0,ilmu alquran dan tafsir
institut agama islam darul dawah wal irsyad polewali mandar,hukum keluarga,999.0,hukum keluarga
universitas islam negeri sunan ampel,bimbingan konseling islam,999.0,bimbingan konseling islam
universitas darussalam gontor,aqidah dan filsafat islam,999.0,aqidah dan filsafat islam
universitas islam negeri sunan ampel,pendidikan bahasa arab,999.0,pendidikan bahasa arab
universitas islam negeri alauddin makassar,ekonomi islam,999.0,ekonomi islam
institut agama islam negeri lhokseumawe,tadris bahasa inggris,999.0,tadris bahasa inggris
institut agama islam negeri takengon,hukum tatanegara,999.0,hukum tatanegara
universitas islam negeri syarif hidayatullah,studi agama agama,999.0,studi agama agama
universitas islam negeri walisongo semarang,komunikasi dan penyiaran islam,999.0,komunikasi dan penyiaran islam
universitas islam negeri walisongo semarang,bimbingan dan penyuluhan islam,999.0,bimbingan dan penyuluhan islam
universitas islam tribakti lirboyo kediri,pendidikan guru madrasah ibtidaiyah,999.0,pendidikan guru madrasah ibtidaiyah
universitas islam negeri walisongo semarang,pengembangan masyarakat islam,999.0,pengembangan masyarakat islam
institut agama islam negeri bone,hukum tatanegara,999.0,hukum tatanegara
institut agama islam negeri bone,ilmu alquran dan tafsir,999.0,ilmu alquran dan tafsir
universitas islam negeri salatiga,hukum tatanegara,999.0,hukum tatanegara
institut agama islam ibrahimy genteng banyuwangi,hukum keluarga islam,999.0,hukum keluarga islam
universitas islam negeri syarif hidayatullah,ilmu alquran dan tafsir,999.0,ilmu alquran dan tafsir
institut agama islam negeri lhokseumawe,tadris matematika,999.0,tadris matematika
iain syekh nurjati cirebon,pengembangan masyarakat islam,999.0,pengembangan masyarakat islam
politeknik kelautan dan perikanan bone,teknik penangkapan ikan,999.0,teknik penangkapan ikan
stai balaiselasa yppti pesisir selatan,hukum keluarga,999.0,hukum keluarga
universitas kristen satya wacana,sosiologi,999.0,sosiologi
politeknik kelautan dan perikanan kupang,teknik budidaya perikanan,999.0,teknik budidaya perikanan
universitas gunung kidul,pembangunan sosial,999.0,pembangunan sosial
universitas kaltara,arsitektur,999.0,arsitektur
universitas papua,budidaya tanaman perkebunan,999.0,budidaya tanaman perkebunan
sekolah tinggi pertanian kewirausahaan banau,agroteknologi,999.0,agroteknologi
universitas nuku,agribisnis,999.0,agribisnis
akademi tata boga bandung,tata hidangan,999.0,tata hidangan
institut nasional flores,peternakan,999.0,peternakan
institut agama kristen negeri kupang,kepemimpinan kristen,999.0,kepemimpinan kristen
universitas sains islam al mawaddah warrahmah kolaka,peternakan,999.0,peternakan
iain syekh nurjati cirebon,ilmu alquran dan tafsir,999.0,ilmu alquran dan tafsir
institut agama islam negeri metro,bahasa dan sastra arab,999.0,bahasa dan sastra arab
universitas sains alqur an,ilmu alquran dan tafsir,999.0,ilmu alquran dan tafsir
stis hidayatullah balikpapan,hukum keluarga,999.0,hukum keluarga
universitas islam negeri fatmawati sukarno bengkulu,bahasa dan sastra arab,999.0,bahasa dan sastra arab
universitas islam negeri fatmawati sukarno bengkulu,sejarah dan peradaban islam,999.0,sejarah dan peradaban islam
universitas islam negeri sunan gunung djati,bahasa dan sastra arab,999.0,bahasa dan sastra arab
universitas islam negeri sunan gunung djati,sejarah peradaban islam,999.0,sejarah peradaban islam
sekolah tinggi pariwisata satya widya,bina wisata,999.0,bina wisata
politeknik negeri pontianak,teknologi budidaya perikanan k kab kapuas hulu,999.0,teknologi budidaya perikanan k kab kapuas hulu
universitas gadjah mada,pengelolaan hutan,2.0,pengelolaan hutan
stai darussalam nganjuk,ahwal alsyakhshiyyah,999.0,ahwal alsyakhshiyyah
universitas antakusuma,manajemen sumber daya perairan,999.0,manajemen sumber daya perairan
universitas islam internasional darullughah waddawah,sejarah peradaban islam,999.0,sejarah peradaban islam
universitas islam internasional darullughah waddawah,komunikasi dan penyiaran islam,999.0,komunikasi dan penyiaran islam
universitas islam internasional darullughah waddawah,bimbingan dan konseling islam,999.0,bimbingan dan konseling islam
universitas islam internasional darullughah waddawah,ekonomi syariah,999.0,ekonomi syariah
universitas islam internasional darullughah waddawah,hukum keluarga islam,999.0,hukum keluarga islam
universitas islam internasional darullughah waddawah,pendidikan bahasa arab,999.0,pendidikan bahasa arab
universitas islam internasional darullughah waddawah,pendidikan agama islam,999.0,pendidikan agama islam
universitas muhammadiyah kalianda,ilmu hukum,999.0,ilmu hukum
institut teknologi dan bisnis bina sriwijaya palembang,bahasa inggris,999.0,bahasa inggris
institut agama islam diniyyah pekanbaru,pendidikan islam anak usia dini,999.0,pendidikan islam anak usia dini
universitas muslim indonesia,sastra arab,999.0,sastra arab
universitas ahmad dahlan,hukum,999.0,hukum
universitas udayana,sastra indonesia,999.0,sastra indonesia
universitas muhammadiyah jakarta,arsitektur,999.0,arsitektur
universitas ekasakti,ilmu komunikasi,999.0,ilmu komunikasi
institut agama islam pemalang,pendidikan islam anak usia dini,999.0,pendidikan islam anak usia dini
institut agama islam pemalang,pendidikan guru madrasah ibtidaiyah,999.0,pendidikan guru madrasah ibtidaiyah
institut agama islam pemalang,pendidikan bahasa arab,999.0,pendidikan bahasa arab
institut agama islam pemalang,manajemen pendidikan islam,999.0,manajemen pendidikan islam
universitas dr djar wattiheluw,ilmu administrasi niaga,999.0,ilmu administrasi niaga
universitas dr djar wattiheluw,ilmu administrasi negara,999.0,ilmu administrasi negara
sekolah tinggi ilmu syariah darul falah bondowoso jawa timur,hukum ekonomi syariah,999.0,hukum ekonomi syariah
universitas jambi,psikologi,999.0,psikologi
universitas islam negeri salatiga,ilmu alquran dan tafsir,999.0,ilmu alquran dan tafsir
iain syekh nurjati cirebon,komunikasi dan penyiaran islam,999.0,komunikasi dan penyiaran islam
iain syekh nurjati cirebon,hukum keluarga,999.0,hukum keluarga
universitas padjadjaran,ilmu politik,7.0,ilmu politik
universitas islam negeri walisongo semarang,manajemen pendidikan islam,999.0,manajemen pendidikan islam
universitas islam negeri walisongo semarang,hukum ekonomi syariah,999.0,hukum ekonomi syariah
universitas islam negeri walisongo semarang,tasawuf dan psikoterapi,999.0,tasawuf dan psikoterapi
universitas islam negeri walisongo semarang,studi agamaagama,999.0,studi agamaagama
