Universitas,Prodi,Jenjang,Status
"POLITEKNIK ANGKATAN LAUT, SURABAYA",FARMASI,D-III,PTKL
Universitas Brawijaya,Pendidikan Profesi Arsitek,Profesi,PTN
Sekolah Tinggi Agama Kristen Protestan Negeri Sentani,Pendidikan Agama Kristen,S1,PTAN
Universitas Lambung Mangkurat,Administrasi Bisnis,S2,PTN
Sekolah Tinggi Ilmu Ekonomi Tri Dharma Widya,Akuntansi,S1,03
Universitas Pasifik Morotai,Akuntansi,S1,12
Sekolah Tinggi Ilmu Ekonomi Ekadharma Indonesia,Akuntansi,S1,04
STMIK Rosma,Komputerisasi Akuntansi,D-III,04
"UNIVERSITAS PANCASAKTI, MAKASSAR",FARMASI,S1,09
"UNIVERSITAS MATARAM, MATARAM",PULMONOLOGI DAN KEDOKTERAN RESPIRASI,Spesialis,PTN
"AKADEMI KEBIDANAN FARMAKO HUSADA AL-MUCTARI BOGOR, BEKASI",KEBIDANAN,D-III,04
Sekolah Tinggi Teologi IKAT Jakarta,Kepemimpinan Kristen,S2,PTAS
Universitas Muhammadiyah Gorontalo,Akuakultur,S1,16
Institut Maritim Prasetiya Mandiri,Budidaya Perairan,D-III,02
Universitas Persada Indonesia Yai,Psikologi,S2,03
Universitas Kristen Duta Wacana,Teologi (Akademik),S3,05
Institut Al Fithrah Surabaya,Ilmu Tasawuf,S1,PTAS
Politeknik Unggulan Cipta Mandiri,Perhotelan,D-III,01
Universitas Muhammadiyah Bima,Ilmu Hukum,S1,08
Sekolah Tinggi Arsitektur YKPN Yogyakarta,Gambar Arsitektur,D-III,05
Universitas Tribhuwana Tungga Dewi,Agribisnis,S1,07
Universitas Sam Ratulangi,Sastra Jerman,S1,PTN
Universitas Muhammadiyah Aceh,Arsitektur,S1,13
Sekolah Tinggi Teologi Global Glow Indonesia Jakarta,Teologi,S3,PTAS
Universitas Negeri Semarang,Statistika Dan Sains Data,S1,PTN
Universitas Wahid Hasyim,Hukum Ekonomi Syari'ah (Muamalah),S2,06
Institut Teknologi Sepuluh November,Pendidikan Profesi Arsitek,Profesi,PTN
Universitas Sanata Dharma,Sastra,S2,05
Universitas Halu Oleo,Perencanaan Dan Pengembangan Wilayah,S2,PTN
Politeknik Pariwisata NHI Bandung,Pengelolaan Usaha Rekreasi,D-IV,PTKL
Politeknik Pariwisata NHI Bandung,Usaha Perjalanan Wisata,D-IV,PTKL
Politeknik Perikanan Negeri Tual,Teknologi Hasil Perikanan,D-III,PTN
Sekolah Tinggi Teologi Reformed Indonesia,Teologi (Akademik),S2,PTAS
Politeknik Kelautan Dan Perikanan Bitung,Teknik Penangkapan Ikan,D-III,PTKL
Universitas Abdurrab,Ilmu Pemerintahan,S1,17
Institut Teknologi Bandung,Teknologi Nano,S2,PTN
Politeknik Maritim Eka Utama Subang,Manajemen Pelabuhan,D-III,04
Universitas Satu Nusa Lampung,Perhotelan,D-III,02
Institut Sayyid Muhammad Alawi Al Maliki,Hukum Ekonomi Syariah (Mu`amalah),S1,PTAS
Institut Sayyid Muhammad Alawi Al Maliki,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAS
Universitas Abdurrab,Psikologi,S1,17
Universitas Islam Al-Aziziyah Indonesia,Ekonomi Syariah,S1,PTAS
Institut Teknologi Bandung,Ilmu Seni Rupa Dan Desain,S3,PTN
Politeknik Negeri Banyuwangi,Destinasi Pariwisata,D-IV,PTN
Universitas HKBP Nommensen,Teknologi Hasil Pertanian,S1,01
Sekolah Tinggi Agama Islam Pelita Nusa Bandung Barat,Perbankan Syariah,S1,PTAS
Sekolah Tinggi Agama Islam Pelita Nusa Bandung Barat,Ekonomi Syari'ah,S1,PTAS
Universitas Islam Syekh-Yusuf,Administrasi Publik,S1,04
Sekolah Tinggi Agama Islam Dirosat Islamiyah Al-Hikmah Jakarta,Ilmu Al-Qur'an Dan Tafsir,S1,PTAS
Sekolah Tinggi Agama Islam Dirosat Islamiyah Al-Hikmah Jakarta,Komunikasi Dan Penyiaran Islam,S1,PTAS
Institut Al Fithrah Surabaya,Komunikasi Dan Penyiaran Islam,S1,PTAS
Universitas Diponegoro,Ilmu Perpustakaan Dan Informasi,S1,PTN
Politeknik Statistika STIS,Komputasi Statistik,D4,PTKL
Universitas Jenderal Soedirman,Ilmu Kelautan,S2,PTN
"POLITEKNIK SANDI KARSA, MAKASSAR",TEKNOLOGI RADIOLOGI PENCITRAAN,D-IV,09
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MEDAN, MEDAN",BIDAN,Profesi,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MEDAN, MEDAN",KEBIDANAN,D-IV,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KENDARI, KENDARI",GIZI DAN DIETETIKA,D-IV,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KALIMANTAN TIMUR, SAMARINDA",KEBIDANAN,D-IV,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KALIMANTAN TIMUR, SAMARINDA",BIDAN,Profesi,PTKL
"INSTITUT KESEHATAN DAN TEKNOLOGI PONDOK KARYA PEMBANGUNAN, JAKARTA",KESELAMATAN DAN KESEHATAN KERJA,D-IV,03
Universitas Bengkulu,Teknik Mesin,S2,PTN
Universitas Kristen Indonesia Paulus,Sistem Informasi,S1,09
Universitas Safin Pati,Sistem Informasi,S1,06
Universitas Udayana,Informatika,S2,PTN
Sekolah Tinggi Teknologi Bontang,Sistem Informasi,S1,11
"UNIVERSITAS SIPATOKKONG MAMBO, BONE",ILMU KEPERAWATAN,S1,09
"UNIVERSITAS SEBELAS MARET, SURAKARTA",KEPERAWATAN ANESTESIOLOGI,D-IV,PTN
"UNIVERSITAS SEBELAS MARET, SURAKARTA",KEDOKTERAN,S1,PTN
"UNIVERSITAS SEBELAS MARET, SURAKARTA",DOKTER,Profesi,PTN
"UNIVERSITAS PRIMA INDONESIA, MEDAN",RADIOLOGI,Spesialis,01
"UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN JAWA TIMUR, SURABAYA",DOKTER,Profesi,PTN
"UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN JAWA TIMUR, SURABAYA",KEDOKTERAN,S1,PTN
"UNIVERSITAS NASIONAL, JAKARTA",KEBIDANAN,S2,03
"UNIVERSITAS MUHAMMADIYAH GOMBONG, KEBUMEN",BIDAN,Profesi,06
"UNIVERSITAS MUHAMMADIYAH GOMBONG, KEBUMEN",KEBIDANAN,S1,06
"UNIVERSITAS MUHAMMADIYAH BANJARMASIN, BANJARMASIN",NERS,Profesi,11
"UNIVERSITAS MUHAMMADIYAH BANJARMASIN, BANJARMASIN",KEPERAWATAN,S1,11
"UNIVERSITAS MUHAMMADIYAH BANJARMASIN, BANJARMASIN",KEPERAWATAN,D-III,11
"UNIVERSITAS MUHAMMADIYAH BANJARMASIN, BANJARMASIN",KEBIDANAN,D-III,11
"UNIVERSITAS MATARAM, MATARAM",NEUROLOGI,Spesialis,PTN
"UNIVERSITAS DIPONEGORO, SEMARANG",GIZI,S1,PTN
"SEKOLAH TINGGI ILMU KESEHATAN PEMBINA PALEMBANG, PALEMBANG",KESEHATAN MASYARAKAT,S1,02
"SEKOLAH TINGGI ILMU KESEHATAN PANTI WALUYA MALANG, MALANG",MANAJEMEN INFORMASI KESEHATAN,D-IV,07
"SEKOLAH TINGGI ILMU KESEHATAN NASIONAL, SURAKARTA",FISIOTERAPI,D-IV,06
"SEKOLAH TINGGI ILMU KESEHATAN BHAKTI HUSADA MULIA MADIUN, MADIUN",FARMASI,D-III,07
"SEKOLAH TINGGI ILMU KESEHATAN BHAKTI HUSADA MULIA MADIUN, MADIUN",FARMASI,S1,07
"SEKOLAH TINGGI ILMU KESEHATAN BARAMULI, PINRANG",NERS,Profesi,09
"SEKOLAH TINGGI ILMU KESEHATAN BARAMULI, PINRANG",KEPERAWATAN,S1,09
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PONTIANAK, PONTIANAK",TEKNOLOGI LABORATORIUM MEDIS,D-IV,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN JAYAPURA, JAYAPURA",GIZI,D-III,PTKL
"POLITEKNIK CENDRAWASIH PALU, PALU",MANAJEMEN INFORMASI KESEHATAN,D-IV,16
"POLITEKNIK 'AISYIYAH PONTIANAK, PONTIANAK",TEKNOLOGI LABORATORIUM MEDIS,D-IV,11
"INSTITUT TEKNOLOGI KESEHATAN CENDEKIA UTAMA KUDUS, KUDUS",KEPERAWATAN,S1,06
"INSTITUT TEKNOLOGI KESEHATAN CENDEKIA UTAMA KUDUS, KUDUS",NERS,Profesi,06
"AKADEMI ANALIS KESEHATAN MALANG, MALANG",TEKNOLOGI LABORATORIUM MEDIS,D-III,07
Universitas Sebelas Maret,Pendidikan Bahasa Dan Sastra Indonesia,S1,PTN
Universitas Islam Negeri Datokarama Palu,Manajemen Pendidikan Islam (Kependidikan Islam),S1,PTAN
Universitas Islam Negeri Fatmawati Sukarno Bengkulu,Pendidikan Agama Islam,S1,PTAN
Universitas Kristen Satya Wacana,Pendidikan Dasar,S2,06
Sekolah Tinggi Ilmu Tarbiyah Al Wasi Kaur,Pendidikan Agama Islam,S1,PTAS
Universitas Islam An Nur Lampung,Tadris Bahasa Inggris,S1,PTAS
"UNIVERSITAS RESPATI INDONESIA, JAKARTA",KEBIDANAN,S1,03
"UNIVERSITAS RESPATI INDONESIA, JAKARTA",BIDAN,Profesi,03
"UNIVERSITAS NGUDI WALUYO, SEMARANG",NERS,Profesi,06
"UNIVERSITAS NGUDI WALUYO, SEMARANG",KEPERAWATAN,S1,06
"UNIVERSITAS MANDALA WALUYA, KENDARI",TEKNOLOGI LABORATORIUM MEDIS,D-IV,09
"UNIVERSITAS LAMBUNG MANGKURAT, BANJARMASIN",KESEHATAN ANAK,Spesialis,PTN
"UNIVERSITAS ISLAM MULIA YOGYAKARTA, BANTUL DAERAH ISTIMEWA YOGYAKARTA",KEBIDANAN,D-III,05
"UNIVERSITAS HASANUDDIN, MAKASSAR",PULMONOLOGI DAN KEDOKTERAN RESPIRASI,Spesialis,PTN
"UNIVERSITAS HANG TUAH PEKANBARU, PEKANBARU",REKAM MEDIK DAN INFORMASI KESEHATAN,D-III,17
"SEKOLAH TINGGI ILMU KESEHATAN SUMBER WARAS, JAKARTA",ADMINISTRASI KESEHATAN,S1,03
"SEKOLAH TINGGI ILMU KESEHATAN SUMBER WARAS, JAKARTA",KEPERAWATAN,S1,03
"SEKOLAH TINGGI ILMU KESEHATAN SUMBER WARAS, JAKARTA",NERS,Profesi,03
"SEKOLAH TINGGI ILMU KESEHATAN AKBIDYO, YOGYAKARTA",BIDAN,Profesi,05
"SEKOLAH TINGGI ILMU KESEHATAN AKBIDYO, YOGYAKARTA",KEBIDANAN,S1,05
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PONTIANAK, PONTIANAK",GIZI,D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PALANGKARAYA, PALANGKARAYA",KEPERAWATAN,D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN ACEH, ACEH BESAR",TEKNOLOGI LABORATORIUM MEDIS,D-III,PTKL
"POLITEKNIK KESEHATAN BHAKTI MULIA, SUKOHARJO",REKAM MEDIK DAN INFORMASI KESEHATAN,D-III,06
Universitas Kristen Wira Wacana Sumba,Ekonomi Pembangunan,S1,15
Politeknik YKPN,Akuntansi,D-III,05
Sekolah Tinggi Manajemen Ppm,Manajemen,S2,03
Akademi Akuntansi Indonesia Padang,Akuntansi,D-III,10
"UNIVERSITAS SYIAH KUALA, BANDA ACEH",ILMU KEPERAWATAN,S1,PTN
"UNIVERSITAS SYIAH KUALA, BANDA ACEH",NERS,Profesi,PTN
"UNIVERSITAS SEBELAS MARET, SURAKARTA",ILMU KESEHATAN MASYARAKAT,S2,PTN
"UNIVERSITAS MUHAMMADIYAH PONOROGO, PONOROGO",KEBIDANAN,D-III,07
"UNIVERSITAS MUHAMMADIYAH PEKAJANGAN PEKALONGAN, PEKALONGAN",NERS,Profesi,06
"UNIVERSITAS MUHAMMADIYAH PEKAJANGAN PEKALONGAN, PEKALONGAN",KEPERAWATAN,S1,06
"UNIVERSITAS MATARAM, MATARAM",OBSTERIK DAN GINEKOLOGI,Spesialis,PTN
"UNIVERSITAS LAMBUNG MANGKURAT, BANJARMASIN",NERS,Profesi,PTN
"UNIVERSITAS LAMBUNG MANGKURAT, BANJARMASIN",KEPERAWATAN,S1,PTN
"UNIVERSITAS ISLAM NEGERI MAULANA MALIK IBRAHIM MALANG, MALANG",DOKTER,Profesi,PTAN
"UNIVERSITAS ISLAM NEGERI MAULANA MALIK IBRAHIM MALANG, MALANG",PENDIDIKAN DOKTER,S1,PTAN
"UNIVERSITAS HASANUDDIN, MAKASSAR",ILMU PENDIDIKAN KEDOKTERAN DAN KESEHATAN,S2,PTN
"UNIVERSITAS GALUH, CIAMIS",NERS,Profesi,04
"UNIVERSITAS GALUH, CIAMIS",KEPERAWATAN,S1,04
"UNIVERSITAS DR. SOEBANDI, JEMBER",KEBIDANAN,S1,07
"UNIVERSITAS DR. SOEBANDI, JEMBER",BIDAN,Profesi,07
"UNIVERSITAS COKROAMINOTO MAKASSAR, MAKASSAR",KEBIDANAN,D-III,09
"UNIVERSITAS CENDERAWASIH, JAYAPURA",ILMU KEPERAWATAN,S1,PTN
"UNIVERSITAS CENDERAWASIH, JAYAPURA",NERS,Profesi,PTN
"UNIVERSITAS ANDALAS, PADANG",FARMASI,S2,PTN
"UNIVERSITAS ABULYATAMA, ACEH BESAR",BIDAN,Profesi,13
"UNIVERSITAS ABULYATAMA, ACEH BESAR",KEBIDANAN,S1,13
"UNIVERSITAS 'AISYIYAH BANDUNG, BANDUNG",NERS,Profesi,04
"UNIVERSITAS 'AISYIYAH BANDUNG, BANDUNG",ILMU KEPERAWATAN,S1,04
"SEKOLAH TINGGI ILMU KESEHATAN YAPIKA MAKASSAR, MAKASSAR",NERS,Profesi,09
"SEKOLAH TINGGI ILMU KESEHATAN YAPIKA MAKASSAR, MAKASSAR",ILMU KEPERAWATAN,S1,09
"SEKOLAH TINGGI ILMU KESEHATAN PATRIOT BANGSA LAMPUNG, BANDAR LAMPUNG",ADMINISTRASI KESEHATAN,S1,02
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TASIKMALAYA, TASIKMALAYA",KEBIDANAN (KAMPUS CIREBON),D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TASIKMALAYA, TASIKMALAYA",KEBIDANAN,D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TASIKMALAYA, TASIKMALAYA",KEPERAWATAN,D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TASIKMALAYA, TASIKMALAYA",KEBIDANAN,D-IV,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TASIKMALAYA, TASIKMALAYA",KEPERAWATAN (KAMPUS CIREBON),D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TASIKMALAYA, TASIKMALAYA",BIDAN,Profesi,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SORONG, SORONG",KEBIDANAN,D-IV,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PONTIANAK, PONTIANAK",NERS,Profesi,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PONTIANAK, PONTIANAK",KEPERAWATAN,D-IV,PTKL
"AKADEMI KEBIDANAN BAKTI INDONESIA BOGOR, BOGOR",KEBIDANAN,D-III,04
Universitas Negeri Yogyakarta,PJJ Ilmu Pendidikan,S3,PTN
Universitas Negeri Yogyakarta,PJJ Pendidikan Teknologi Dan Kejuruan,S3,PTN
Universitas Negeri Yogyakarta,PJJ Penelitian Dan Evaluasi Pendidikan,S3,PTN
Universitas Negeri Yogyakarta,PJJ Pendidikan Teknologi Dan Kejuruan,S2,PTN
Universitas Kristen Satya Wacana,Pendidikan Bahasa Inggris,S2,06
Universitas Islam Syarifuddin Lumajang,Pendidikan Agama Islam,S1,PTAS
Universitas Islam Syarifuddin Lumajang,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS
Universitas Islam Depok,Pendidikan Agama Islam,S2,PTAS
Sekolah Tinggi Agama Islam Darud Dakwah Wal Irsyad Maros,Pendidikan Agama Islam,S1,PTAS
Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Pendidikan Guru Madrasah Ibtidaiyah,S2,PTAN
Sekolah Tinggi Ilmu Tarbiyah Nur Ahadiyah,Pendidikan Agama Islam,S1,PTAS
Sekolah Tinggi Agama Islam Sayid Sabiq Indramayu,Pendidikan Agama Islam,S1,PTAS
Universitas Negeri Yogyakarta,Pendidikan Pancasila Dan Kewarganegaraan,S1,PTN
Universitas Muhammadiyah Sidenreng Rappang,Pendidikan Vokasional Seni Kuliner,S1,09
Sekolah Tinggi Agama Islam Riyadhul Jannah Subang,Pendidikan Islam Anak Usia Dini,S1,PTAS
Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Bangil,Pendidikan Agama Islam,S1,PTAS
Sekolah Tinggi Agama Islam Morowali,Pendidikan Agama Islam,S1,PTAS
Universitas Negeri Yogyakarta,Pendidikan Jasmani Sekolah Dasar,S3,PTN
Sekolah Tinggi Teologi Siloam Medan,Pendidikan Agama Kristen,S1,PTAS
Universitas Negeri Yogyakarta,Pendidikan Anak Usia Dini,S2,PTN
Universitas Iskandar Muda,Pendidikan Bahasa Inggris,S1,13
Universitas Hasyim Asy'ari Tebuireng Jombang,Pendidikan Bahasa Dan Sastra Indonesia,S1,07
Universitas Tribuana Kalabahi,Pendidikan Teologi,S1,15
Universitas PGRI Palembang,Pendidikan Matematika,S1,02
Institut Agama Islam Ar-Risalah Inhil Riau,Pendidikan Islam Anak Usia Dini,S1,PTAS
Universitas Trunojoyo,Pendidikan Ilmu Pengetahuan Alam,S1,PTN
Universitas Katolik Parahyangan,Pendidikan Ilmu Pengetahuan Alam,S2,04
Universitas Muhammadiyah Mataram,Pendidikan Dasar,S2,08
Universitas Islam Negeri Sunan Gunung Djati,Pendidikan Kimia,S1,PTAN
Universitas Pelita Harapan,Pendidikan Bahasa Inggris,S1,03
Universitas Nahdlatul Ulama Cirebon,Pendidikan Guru Sekolah Dasar,S1,04
Sekolah Tinggi Agama Islam Raudhatul Akmal,Pendidikan Islam Anak Usia Dini,S1,PTAS
Sekolah Tinggi Katolik Santo Yakobus Merauke,Pendidikan Profesi Guru Pendidikan Agama Katolik,Profesi,PTAS
Universitas Muhammadiyah Surakarta,Pendidikan Matematika,S2,06
Universitas Negeri Malang,Pendidikan Bahasa Indonesia,S2,PTN
Institut Agama Hindu Negeri Tampung Penyang Palangka Raya,Pendidikan Seni Dan Keagamaan,S1,PTAN
Institut Agama Hindu Negeri Tampung Penyang Palangka Raya,Manajemen Pendidikan Agama Hindu,S2,PTAN
Universitas Negeri Medan,Pendidikan Dasar,S3,PTN
Universitas Negeri Jakarta,Linguistik Terapan,S3,PTN
Universitas Pamulang,Pendidikan Ekonomi,S1,04
Universitas Negeri Medan,Pendidikan Tata Boga,S1,PTN
Universitas PGRI Madiun,Pendidikan Matematika,S1,07
Universitas Negeri Malang,Pendidikan Seni Rupa,S1,PTN
Sekolah Tinggi Ilmu Tarbiyah Darul Ishlah,Manajemen Pendidikan Islam,S1,PTAS
Sekolah Tinggi Agama Islam Paduka Anambas,Pendidikan Agama Islam,S1,PTAS
Universitas Khairun,Pendidikan Kimia,S1,PTN
Universitas Islam Negeri Alauddin Makassar,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN
Universitas Islam Indonesia,Pendidikan Agama Islam,S1,05
Sekolah Tinggi Agama Islam Morowali,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS
Universitas Muhammadiyah Bima,Pendidikan Islam Anak Usia Dini,S1,08
Sekolah Tinggi Ilmu Tarbiyah Ispini,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS
Universitas Pendidikan Ganesha,Pendidikan Teknik Mesin,S1,PTN
Universitas Cenderawasih,Pendidikan Guru Pendidikan Anak Usia Dini,S1,PTN
Universitas Riau,Pendidikan Guru Sekolah Dasar,S1,PTN
Universitas Dwijendra,Pendidikan Bahasa Indonesia,S1,08
Sekolah Tinggi Agama Islam Babunnajah Pandeglang,Pendidikan Agama Islam,S1,PTAS
Universitas Bina Darma,Pendidikan Jasmani,S2,02
Universitas Muhammadiyah Makassar,Pendidikan Bahasa Arab,S1,09
Universitas HKBP Nommensen,Pendidikan Ekonomi,S1,01
Universitas Negeri Jakarta,Pendidikan Ekonomi,S1,PTN
Universitas PGRI Sumatera Barat,Pendidikan Guru Vokasi,S2,10
Universitas Jambi,Pendidikan Guru Pendidikan Anak Usia Dini,S1,PTN
Universitas Negeri Semarang,Pendidikan Matematika,S2,PTN
Universitas Negeri Yogyakarta,Pendidikan Jasmani,S2,PTN
Universitas Muhammadiyah Mataram,Pendidikan Profesi Guru,Profesi,08
Universitas Islam Negeri Salatiga,Tadris Bahasa Inggris,S1,PTAN
Universitas Negeri Semarang,Pendidikan Ekonomi,S3,PTN
Institut Agama Islam Latifah Mubarokiyah Suryalaya Tasikmalaya,Pendidikan Islam Anak Usia Dini,S1,PTAS
Universitas Islam Negeri Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN
Universitas PGRI Madiun,Pendidikan Guru Sekolah Dasar,S1,07
Institut Agama Islam Negeri Ponorogo,Tadris Matematika,S1,PTAN
Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,Bimbingan Dan Konseling Pendidikan Islam,S1,PTAN
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Sumenep,Pendidikan Bahasa Dan Sastra Indonesia,S1,07
Universitas Kristen Satya Wacana,Pendidikan Sejarah,S1,06
Universitas Muhammadiyah Sumatera Utara,Pendidikan Bahasa Inggris,S1,01
Universitas Pancasakti Tegal,Pendidikan Pancasila Dan Kewarganegaraan,S1,06
Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,Manajemen Pendidikan Islam,S3,PTAN
Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,Pendidikan Profesi Guru,Profesi,PTAN
Institut Agama Islam Almuslim Aceh,Pendidikan Agama Islam,S1,PTAS
Universitas Yudharta Pasuruan,Pendidikan Agama Islam,S1,07
Institut Agama Islam Negeri Langsa,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN
Universitas Hasyim Asy'ari Tebuireng Jombang,Pendidikan Bahasa Arab,S2,07
Universitas Muhammadiyah Pringsewu Lampung,Pendidikan Matematika,S1,02
Sekolah Tinggi Agama Islam YPIQ Bau-Bau,Pendidikan Agama Islam,S1,PTAS
Sekolah Tinggi Agama Islam Imam Bukhori Bulukumba,Pendidikan Agama Islam,S1,PTAS
Universitas Muhammadiyah Sorong,Pendidikan Guru Sekolah Dasar,S1,14
Institut Agama Islam Negeri Kerinci,Manajemen Pendidikan Islam,S2,PTAN
Universitas Islam Negeri Maulana Malik Ibrahim,Pendidikan Matematika,S2,PTAN
Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Tadris Fisika,S1,PTAN
Universitas HKBP Nommensen,Pendidikan Profesi Guru,Profesi,01
Universitas KH. Mukhtar Syafaat,Tadris Matematika,S1,PTAS
Universitas Negeri Yogyakarta,Pendidikan Fisika,S1,PTN
Universitas Ahmad Dahlan,Bimbingan Dan Konseling,S2,05
Universitas Negeri Jakarta,Pendidikan Sejarah,S1,PTN
Universitas Negeri Semarang,Pendidikan Ekonomi,S1,PTN
Universitas Hasyim Asy'ari Tebuireng Jombang,Pendidikan Guru Sekolah Dasar,S1,07
Universitas Negeri Padang,Pendidikan Biologi,S2,PTN
Universitas PGRI Semarang,Pendidikan Teknologi Informasi,S1,06
Universitas Jambi,Pendidikan Bahasa Inggris,S1,PTN
Universitas Islam Negeri Antasari Banjarmasin,Tadris Bahasa Inggris,S1,PTAN
Sekolah Tinggi Agama Islam Shalahuddin Al-Ayyubi Jakarta Utara,Manajemen Pendidikan Islam,S1,PTAS
Universitas Islam Negeri Syarif Hidayatullah,Pendidikan Agama Islam,S2,PTAN
Universitas Negeri Malang,Teknologi Pembelajaran,S2,PTN
Universitas Negeri Yogyakarta,Pendidikan Matematika,S2,PTN
Institut Agama Islam Negeri Madura,Manajemen Pendidikan Islam,S1,PTAN
Institut Agama Islam Negeri Sorong,Tadris Ilmu Pengetahuan Alam,S1,PTAN
Universitas Jabal Ghafur,Pendidikan Bahasa Inggris,S1,13
Universitas Islam Negeri Sunan Gunung Djati,Pendidikan Fisika,S1,PTAN
Universitas Islam Negeri Walisongo Semarang,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN
Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,Manajemen Pendidikan Islam,S2,PTAN
Sekolah Tinggi Agama Kristen Bina Muda Wirawan Wonogiri,Pendidikan Agama Kristen,S1,PTAS
Universitas Al-Amien Prenduan,Pendidikan Bahasa Arab,S1,PTAS
Universitas Lancang Kuning,Pendidikan Profesi Guru,Profesi,10
Institut Agama Islam Tasikmalaya,Bimbingan Dan Konseling Pendidikan Islam,S1,PTAS
Institut Agama Islam Bakti Negara Tegal,Pendidikan Agama Islam,S2,PTAS
Universitas Dehasen Bengkulu,Manajemen Pendidikan,S2,02
Sekolah Tinggi Katolik Santo Yakobus Merauke,Pendidikan Guru Sekolah Dasar,S1,PTAS
Sekolah Tinggi Agama Kristen Sabda Holistik,Pendidikan Agama Kristen,S1,PTAS
Universitas Pekalongan,Pendidikan Profesi Guru,Profesi,06
Universitas Islam Nahdlatul Ulama Jepara,Pendidikan Profesi Guru,Profesi,06
Universitas Nusa Cendana,Fisika,S1,PTN
Universitas Kristen Krida Wacana,Manajemen,S2,03
Universitas Bengkulu,Manajemen,S3,PTN
Universitas Nusa Nipa,Kewirausahaan,S1,15
Universitas Satu,Manajemen,S1,04
Universitas Siliwangi,Manajemen,S1,PTN
Universitas Ibn Khaldun Bogor,Ekonomi Syariah,S3,04
Universitas Islam Negeri Mataram,Ekonomi Syariah,S2,PTAN
Universitas Komputer Indonesia,Ilmu Manajemen,S3,04
Universitas Lampung,Ekonomi Pembangunan,S1,PTN
Universitas Balikpapan,Manajemen,S1,11
Universitas Nias,Manajemen,S1,01
Sekolah Tinggi Ilmu Ekonomi LPI Makassar,Akuntansi,S1,09
Politeknik Negeri Tanah Laut,Akuntansi Perpajakan,D-IV,PTN
Universitas Jember,Ekonomi Syariah,S1,PTN
Universitas Tridinanti,Manajemen,S1,02
Sekolah Tinggi Ilmu Ekonomi Pancasetia,Manajemen,S2,11
Universitas Doktor Husni Ingratubun Tual,Akuntansi,S1,12
Sekolah Tinggi Ekonomi Dan Bisnis Islam Syaikhona Kholil Sidogiri Pasuruan,Ekonomi Syariah,S1,PTAS
"UNIVERSITAS RIAU, PEKANBARU",KEPERAWATAN,S1,PTN
"UNIVERSITAS RIAU, PEKANBARU",NERS,Profesi,PTN
"UNIVERSITAS MUHAMMADIYAH MATARAM, MATARAM",KEBIDANAN,S1,08
"UNIVERSITAS MUHAMMADIYAH MATARAM, MATARAM",BIDAN,Profesi,08
"UNIVERSITAS HASANUDDIN, MAKASSAR",ORTODONSIA,Spesialis,PTN
"UNIVERSITAS DIPONEGORO, SEMARANG",KEPERAWATAN,S2,PTN
"UNIVERSITAS DIPONEGORO, SEMARANG",KESEHATAN MASYARAKAT,S2,PTN
